feature,mean_abs_shap
Negative GCC Energy (kWh)_t-525min,640.0002325210777
10m_wind_speed_mean_t+60min,639.8047100083653
Gross Actual Power Plant Generation_t-90min,639.307401744302
HU-UA_t-15min,639.0144326323481
Estimated Solar Power Production (Intraday)_t+555min,638.949623278999
Solar Power Plants Net (Operational Control)_t-435min,638.8037619667176
HU-AT Schedule_t+150min,638.7288985810197
HU-UA Schedule_t+135min,638.3103685766098
HU-SK_t-210min,637.8507880230306
Negative GCC Energy (kWh)_t-195min,637.7278403301386
temp_mean_t+60min,637.4626946590499
Negative GCC Energy (kWh)_t-330min,637.241642555138
Activated Negative aFRR Balancing Energy (kWh)_t-240min,636.6977774700932
HU-AT Schedule_t+375min,635.1522972804936
HU-AT Schedule_t+480min,632.8142251448464
Estimated Solar Power Production (Day-Ahead)_t+135min,632.4780981357054
HU-RS_t-255min,632.3043801533793
Gross Actual Power Plant Generation_t-480min,632.0879418958066
Gross Certified System Load (Actual)_t-30min,631.9712856954131
Requested Negative aFRR Balancing Energy (kWh)_t-165min,631.6443778101152
Estimated Wind Power Production (Day-Ahead)_t+165min,631.0973339508215
Activated Positive aFRR Balancing Energy Cost (HUF)_t-75min,630.1814600455078
Requested Negative aFRR Balancing Energy (kWh)_t-135min,629.8707522114875
Gross System Load Forecast (Day-Ahead)_t+675min,629.159460528497
Estimated Solar Power Production (Day-Ahead)_t+150min,629.1472343019354
ssrd_std_t+45min,629.0710395767674
